################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.1488064260290360E-01 a       171     0    12     1     6
  4.0599338188593309E-01 a       172     0    12     1     7
 -2.4522827593793051E-01 a       173     0    12     1     8
 -1.4399285024552850E+00 a       174     0    12     1     9
  9.5180455740261322E-02 a       175     0    12     1    10
 -7.1278365610616456E-01 a       176     0    12     1    11
  3.2987592458283768E-02 a       177     0    12     1    12
  1.1821258227332443E+00 a       178     0    12     1    13
 -5.4282935772834905E-02 a       179     0    12     1    14
 -3.2662062206382264E-01 a       180     0    12     1    15
 -4.3212022586486282E-01 a       181     0    13     1     1
  3.6674968679626940E-01 a       182     0    13     1     2
 -8.4981948623856018E-01 a       183     0    13     1     3
 -4.5162527373250362E-02 a       184     0    13     1     4
 -2.8162813365093392E-01 a       185     0    13     1     5
 -1.7984763861067496E-01 a       186     0    13     1     6
 -8.1254235583687676E-02 a       187     0    13     1     7
  5.2480966914535288E-01 a       188     0    13     1     8
 -8.5836321483958700E-01 a       189     0    13     1     9
  2.7073088163784870E-01 a       190     0    13     1    10
 -1.0608691747982648E+00 a       191     0    13     1    11
 -6.7281960394835605E-01 a       192     0    13     1    12
  3.3868171329569424E-01 a       193     0    13     1    13
 -2.9067818989817573E-01 a       194     0    13     1    14
 -7.3302589659134243E-01 a       195     0    13     1    15
 -1.3952105624711650E+00 a       196     0    14     1     1
  1.3545720829183447E-01 a       197     0    14     1     2
 -1.1877651846780642E-01 a       198     0    14     1     3
  6.7715996250401519E-02 a       199     0    14     1     4
 -1.7327026047427915E-01 a       200     0    14     1     5
 -9.2545804549300240E-02 a       201     0    14     1     6
  6.6156739637778017E-01 a       202     0    14     1     7
  5.8925231630111530E-01 a       203     0    14     1     8
 -1.2377492092933540E-01 a       204     0    14     1     9
 -5.9369685454240824E-02 a       205     0    14     1    10
 -3.3341172254329987E-01 a       206     0    14     1    11
 -2.2437723418863306E-01 a       207     0    14     1    12
  1.3933203795552337E-01 a       208     0    14     1    13
 -8.9091840862139893E-02 a       209     0    14     1    14
 -2.9742750307290006E-01 a       210     0    14     1    15
 -3.5406203210178888E-01 a       211     0    15     1     1
  4.7143496765882580E-02 a       212     0    15     1     2
 -5.5848192008076658E-01 a       213     0    15     1     3
  1.0817746410177471E-01 a       214     0    15     1     4
 -3.1074500427783786E-01 a       215     0    15     1     5
 -1.2332213586382768E+00 a       216     0    15     1     6
 -8.4457274793287407E-01 a       217     0    15     1     7
  5.3783978605435556E-01 a       218     0    15     1     8
 -8.7398637917765287E-01 a       219     0    15     1     9
  3.6876890957879338E-01 a       220     0    15     1    10
 -1.9740338990140477E-01 a       221     0    15     1    11
 -5.5320851574274432E-01 a       222     0    15     1    12
 -7.5372460177968614E-01 a       223     0    15     1    13
 -1.3082711601784122E-01 a       224     0    15     1    14
 -7.8616295066803024E-02 a       225     0    15     1    15
 -1.3184180706192599E+01 a       226     0    16     1     1
  8.5132695977809743E+00 a       227     0    16     1     2
 -4.8080134838009707E+00 a       228     0    16     1     3
  3.4885232961945838E+00 a       229     0    16     1     4
 -1.7531784699905055E+00 a       230     0    16     1     5
  1.3253760574971396E+01 a       231     0    16     1     6
  7.2754421750872371E+00 a       232     0    16     1     7
  5.4233577547280039E+00 a       233     0    16     1     8
 -6.8575409113950521E+00 a       234     0    16     1     9
  1.8873436841985687E+00 a       235     0    16     1    10
 -7.1161709017976058E+00 a       236     0    16     1    11
 -9.5311776518929516E+00 a       237     0    16     1    12
 -1.3733277248020219E+01 a       238     0    16     1    13
 -5.0951654950526324E+00 a       239     0    16     1    14
  1.7339051998796637E+00 a       240     0    16     1    15
 -4.6304204728662901E+00 a       241     0    17     1     1
 -1.5555441761260058E+00 a       242     0    17     1     2
 -9.6568345991441440E+00 a       243     0    17     1     3
 -7.6131087343150583E-01 a       244     0    17     1     4
  4.2804597574255648E-01 a       245     0    17     1     5
 -8.0565265450181673E+00 a       246     0    17     1     6
  1.2668255426019307E+01 a       247     0    17     1     7
 -2.4592978735446840E+00 a       248     0    17     1     8
 -3.2430571815103217E+00 a       249     0    17     1     9
  2.4774939744115060E-01 a       250     0    17     1    10
 -1.3033753691840948E+00 a       251     0    17     1    11
 -7.0497790530302984E-01 a       252     0    17     1    12
  2.9439663006488774E+00 a       253     0    17     1    13
 -8.7534944842585212E+00 a       254     0    17     1    14
 -1.9142578749886457E-01 a       255     0    17     1    15
  5.3278819912194759E+00 a       256     0    18     1     1
  2.6142715749790875E+00 a       257     0    18     1     2
  8.9860258165889579E+00 a       258     0    18     1     3
  2.8073581437774560E+00 a       259     0    18     1     4
  3.6649472590109946E+00 a       260     0    18     1     5
  2.0349975296167173E+01 a       261     0    18     1     6
 -6.7642719811556817E-01 a       262     0    18     1     7
 -3.2782543077019914E+00 a       263     0    18     1     8
 -9.4543278450097290E+00 a       264     0    18     1     9
 -1.0552723674115403E+00 a       265     0    18     1    10
  2.2294862519829191E+00 a       266     0    18     1    11
 -1.5379032788025712E-01 a       267     0    18     1    12
 -9.0537581079905021E+00 a       268     0    18     1    13
 -1.4072922832204808E+01 a       269     0    18     1    14
 -3.1229009115359676E+00 a       270     0    18     1    15
  1.3053921456209379E+01 a       271     0    19     1     1
 -4.4366275093890600E-01 a       272     0    19     1     2
 -2.7690400486053757E+00 a       273     0    19     1     3
 -2.4626772242311015E+00 a       274     0    19     1     4
  7.0693364842620765E+00 a       275     0    19     1     5
 -9.0663686094968128E+00 a       276     0    19     1     6
 -6.5040767104834507E-01 a       277     0    19     1     7
  5.9112351649224353E+00 a       278     0    19     1     8
  6.1073570845431897E+00 a       279     0    19     1     9
 -1.6835044866007711E+00 a       280     0    19     1    10
 -3.4720644946095708E-01 a       281     0    19     1    11
  7.5501790994353097E+00 a       282     0    19     1    12
 -6.9901504200965796E+00 a       283     0    19     1    13
 -6.0747323574404692E+00 a       284     0    19     1    14
 -3.2256048151106516E+00 a       285     0    19     1    15
  1.5353531524653340E+01 a       286     0    20     1     1
  8.4581361174620895E+00 a       287     0    20     1     2
  1.9972168864980532E+01 a       288     0    20     1     3
  5.5086198240108586E-01 a       289     0    20     1     4
  1.1960119404916769E+01 a       290     0    20     1     5
 -1.7508129435608220E+00 a       291     0    20     1     6
 -3.8468095333355516E+00 a       292     0    20     1     7
  2.7042390273839949E+00 a       293     0    20     1     8
  3.8560191819279184E+00 a       294     0    20     1     9
 -1.5089115884614877E+00 a       295     0    20     1    10
 -4.3536639895016815E+00 a       296     0    20     1    11
  1.0083703203240223E+01 a       297     0    20     1    12
 -1.0762199505207381E+01 a       298     0    20     1    13
 -1.0571209728116169E+00 a       299     0    20     1    14
  1.4673740704987999E+00 a       300     0    20     1    15
  1.2426899297609287E+01 a       301     0    21     1     1
  1.7953420693989481E+00 a       302     0    21     1     2
 -7.2456026209461832E+00 a       303     0    21     1     3
 -1.8893122158385114E+00 a       304     0    21     1     4
 -5.1719408678474803E+00 a       305     0    21     1     5
 -2.2242180946073638E+01 a       306     0    21     1     6
 -6.2050806305784345E+00 a       307     0    21     1     7
 -1.7182665157328749E+00 a       308     0    21     1     8
  4.2445336265599893E+00 a       309     0    21     1     9
 -4.3860147065096369E+00 a       310     0    21     1    10
 -3.1136988044578913E+00 a       311     0    21     1    11
  4.5702925642611918E+00 a       312     0    21     1    12
  1.2047860752659849E+00 a       313     0    21     1    13
  1.2582534808719787E+01 a       314     0    21     1    14
  1.3618466049533176E+00 a       315     0    21     1    15
  2.7539676312530714E+00 a       316     0    22     1     1
 -4.6459116888917391E+00 a       317     0    22     1     2
  2.0257795132057575E-02 a       318     0    22     1     3
 -8.1809626829099569E-01 a       319     0    22     1     4
 -1.9695702930671681E+00 a       320     0    22     1     5
 -2.5165077414287249E+00 a       321     0    22     1     6
  4.1482638408564648E-01 a       322     0    22     1     7
  1.9561296322517555E-01 a       323     0    22     1     8
  3.2337607166304161E+00 a       324     0    22     1     9
 -7.4101632049616040E-01 a       325     0    22     1    10
  1.7478045702506060E+00 a       326     0    22     1    11
  3.2771946827652738E+00 a       327     0    22     1    12
  2.3416859823287646E+00 a       328     0    22     1    13
  2.3456331165695357E+00 a       329     0    22     1    14
  9.9694420113231408E-01 a       330     0    22     1    15
 -5.8961688272157996E-02 a       331     0    23     1     1
