################################################################################
# Atomic force comparison (ordered by atom index).
################################################################################
# Col  Name   Description
################################################################################
# 1    fx     Force in x direction.
# 2    fy     Force in y direction.
# 3    fz     Force in z direction.
# 4    fxRef  Reference force in x direction.
# 5    fyRef  Reference force in y direction.
# 6    fzRef  Reference force in z direction.
# 7    fxDiff Difference between reference and NNP force in x dir.
# 8    fyDiff Difference between reference and NNP force in y dir.
# 9    fzDiff Difference between reference and NNP force in z dir.
########################################################################################################################################################
#              1                2                3                4                5                6                7                8                9
#             fx               fy               fz            fxRef            fyRef            fzRef           fxDiff           fyDiff           fzDiff
########################################################################################################################################################
  9.59840171E-03   3.97233732E-03   1.67574856E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00  -9.59840171E-03  -3.97233732E-03  -1.67574856E-02
  3.22197501E-02  -2.52329644E-02   1.18698760E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00  -3.22197501E-02   2.52329644E-02  -1.18698760E-02
 -3.21395032E-02   1.51632487E-02  -5.81784495E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   3.21395032E-02  -1.51632487E-02   5.81784495E-03
  2.48547399E-03   1.21719766E-02  -1.35947616E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00  -2.48547399E-03  -1.21719766E-02   1.35947616E-02
 -2.43669841E-02   4.05657359E-03  -1.86306088E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00   2.43669841E-02  -4.05657359E-03   1.86306088E-02
  3.21454294E-03  -4.60213908E-03   1.64444334E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00  -3.21454294E-03   4.60213908E-03  -1.64444334E-02
  1.76727492E-02  -5.47746421E-03   6.21346797E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00  -1.76727492E-02   5.47746421E-03  -6.21346797E-03
 -8.56700703E-03  -1.63220150E-02   1.53058105E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00   8.56700703E-03   1.63220150E-02  -1.53058105E-02
  1.56239186E-02   1.29074520E-02  -8.92099219E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00  -1.56239186E-02  -1.29074520E-02   8.92099219E-03
  2.52448398E-03   2.44424160E-03  -1.07191828E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00  -2.52448398E-03  -2.44424160E-03   1.07191828E-02
 -2.28918176E-02   2.57872401E-02   3.85240863E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00   2.28918176E-02  -2.57872401E-02  -3.85240863E-02
  1.92178374E-02   3.22692072E-03  -2.27934792E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00  -1.92178374E-02  -3.22692072E-03   2.27934792E-02
 -1.10305838E-03  -3.17109524E-02  -1.14006786E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00   1.10305838E-03   3.17109524E-02   1.14006786E-02
 -1.97163802E-02  -2.83744062E-03   1.10554409E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00   1.97163802E-02   2.83744062E-03  -1.10554409E-02
 -5.61753707E-03   4.35974767E-03   9.12692578E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   5.61753707E-03  -4.35974767E-03  -9.12692578E-03
  2.33602672E-02  -3.09340512E-03  -1.81226202E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00  -2.33602672E-02   3.09340512E-03   1.81226202E-02
