################################################################################
# Energy contributions calculated from NNP.
################################################################################
# Col  Name      Description
################################################################################
# 1    index     Atom index.
# 2    e         Element of atom.
# 3    charge    Atomic charge (not used).
# 4    Ennp_atom Atomic energy contribution (physical units, no mean or offset energy added).
################################################################################
#        1  2                3                4
#    index  e           charge        Ennp_atom
###############################################
       171  O   0.00000000E+00  -2.88792152E-03
       172  H   0.00000000E+00  -7.65919588E-03
       173  H   0.00000000E+00  -3.21212770E-03
       174  O   0.00000000E+00   7.86131602E-03
       175  H   0.00000000E+00  -9.95971951E-03
       176  H   0.00000000E+00  -3.59886737E-03
       177  O   0.00000000E+00   1.32266170E-02
       178  H   0.00000000E+00  -6.40581882E-03
       179  H   0.00000000E+00  -5.66448787E-03
       180  O   0.00000000E+00   1.31706284E-02
       181  H   0.00000000E+00  -8.56358949E-03
       182  H   0.00000000E+00  -5.25955296E-03
       183  O   0.00000000E+00  -1.34210166E-03
       184  H   0.00000000E+00  -3.75443898E-03
       185  H   0.00000000E+00  -9.60752689E-03
       186  O   0.00000000E+00   2.03559533E-02
       187  H   0.00000000E+00  -1.34488640E-02
       188  H   0.00000000E+00  -5.46286102E-03
       189  O   0.00000000E+00   2.19442640E-02
       190  H   0.00000000E+00  -1.02200200E-02
       191  H   0.00000000E+00  -7.66545370E-03
       192  O   0.00000000E+00   1.88388747E-02
       193  H   0.00000000E+00  -7.96082142E-03
       194  H   0.00000000E+00  -6.81773192E-03
       195  O   0.00000000E+00   1.09655913E-02
       196  H   0.00000000E+00  -2.69167412E-03
       197  H   0.00000000E+00  -8.79475321E-03
       198  O   0.00000000E+00   2.11845870E-02
       199  H   0.00000000E+00  -8.37771422E-03
       200  H   0.00000000E+00  -1.28825130E-02
       201  O   0.00000000E+00   5.10313065E-03
       202  H   0.00000000E+00   5.27530287E-04
       203  H   0.00000000E+00  -5.75201331E-03
       204  O   0.00000000E+00  -3.34742132E-03
       205  H   0.00000000E+00  -2.17083556E-03
       206  H   0.00000000E+00  -3.52280818E-03
       207  O   0.00000000E+00   2.41889420E-03
       208  H   0.00000000E+00  -7.01366366E-03
       209  H   0.00000000E+00  -4.81461175E-03
       210  O   0.00000000E+00   6.20405376E-03
       211  H   0.00000000E+00  -5.18894707E-03
       212  H   0.00000000E+00  -9.61971258E-04
       213  O   0.00000000E+00   2.40094673E-02
       214  H   0.00000000E+00  -1.12971546E-02
       215  H   0.00000000E+00  -9.12204510E-03
       216  O   0.00000000E+00  -1.09273788E-02
       217  H   0.00000000E+00   1.68562562E-04
       218  H   0.00000000E+00  -7.94165284E-03
       219  O   0.00000000E+00   2.35532205E-02
       220  H   0.00000000E+00  -9.91904633E-03
       221  H   0.00000000E+00  -1.02421599E-02
       222  O   0.00000000E+00   8.54266485E-03
       223  H   0.00000000E+00  -1.87863888E-03
       224  H   0.00000000E+00  -6.23830894E-03
       225  O   0.00000000E+00  -2.74614884E-03
       226  H   0.00000000E+00  -5.35164533E-03
       227  H   0.00000000E+00   7.33393289E-04
       228  O   0.00000000E+00   8.37246799E-03
       229  H   0.00000000E+00  -8.15348466E-03
       230  H   0.00000000E+00  -1.03160459E-02
       231  O   0.00000000E+00   9.41988079E-03
       232  H   0.00000000E+00  -1.89860390E-03
       233  H   0.00000000E+00  -4.25782885E-03
       234  O   0.00000000E+00   6.93339696E-04
       235  H   0.00000000E+00  -2.65623375E-03
       236  H   0.00000000E+00  -7.20528331E-03
       237  O   0.00000000E+00   1.70812212E-02
       238  H   0.00000000E+00  -7.26388404E-03
       239  H   0.00000000E+00  -9.15880515E-03
       240  O   0.00000000E+00   1.55906738E-02
       241  H   0.00000000E+00  -4.95492182E-03
       242  H   0.00000000E+00  -6.57442491E-03
       243  O   0.00000000E+00   3.12361525E-02
       244  H   0.00000000E+00  -9.54949525E-03
       245  H   0.00000000E+00  -1.16265264E-02
       246  O   0.00000000E+00   1.38090093E-02
       247  H   0.00000000E+00  -8.45333106E-03
       248  H   0.00000000E+00  -5.26207018E-03
       249  O   0.00000000E+00   1.57353264E-03
       250  H   0.00000000E+00  -4.67339201E-03
       251  H   0.00000000E+00  -5.23804505E-03
       252  O   0.00000000E+00   6.55845131E-03
       253  H   0.00000000E+00  -6.35106257E-03
       254  H   0.00000000E+00  -5.68510416E-03
       255  O   0.00000000E+00   8.50390606E-03
       256  H   0.00000000E+00  -6.73563207E-03
       257  H   0.00000000E+00  -7.01787420E-03
       258  O   0.00000000E+00   1.31578666E-02
       259  H   0.00000000E+00  -1.15358077E-02
       260  H   0.00000000E+00  -1.10697232E-02
       261  O   0.00000000E+00  -4.50842111E-03
       262  H   0.00000000E+00   1.35517825E-03
       263  H   0.00000000E+00  -5.28753023E-03
       264  O   0.00000000E+00   5.71856334E-03
       265  H   0.00000000E+00  -7.45644039E-03
       266  H   0.00000000E+00  -4.66980846E-03
       267  O   0.00000000E+00   2.84451679E-02
       268  H   0.00000000E+00  -1.16572954E-02
       269  H   0.00000000E+00  -1.03573242E-02
       270  O   0.00000000E+00   1.52827287E-02
       271  H   0.00000000E+00  -6.91395142E-03
       272  H   0.00000000E+00  -7.27726152E-03
       273  O   0.00000000E+00   1.56368346E-02
       274  H   0.00000000E+00  -5.94723230E-03
       275  H   0.00000000E+00  -9.32649523E-03
       276  O   0.00000000E+00   1.64802452E-02
       277  H   0.00000000E+00  -5.24994636E-03
       278  H   0.00000000E+00  -7.29967584E-03
       279  O   0.00000000E+00   7.16033450E-03
       280  H   0.00000000E+00  -7.73047076E-03
       281  H   0.00000000E+00  -7.09759069E-03
       282  O   0.00000000E+00   9.93257213E-03
       283  H   0.00000000E+00  -6.69382114E-03
       284  H   0.00000000E+00  -9.77890505E-03
       285  O   0.00000000E+00   8.34569643E-03
       286  H   0.00000000E+00  -8.93120266E-03
       287  H   0.00000000E+00  -9.40822177E-03
       288  O   0.00000000E+00   1.04844515E-02
       289  H   0.00000000E+00  -7.32963934E-03
       290  H   0.00000000E+00  -7.46436750E-03
       291  O   0.00000000E+00   8.12343056E-03
       292  H   0.00000000E+00  -7.99625248E-03
       293  H   0.00000000E+00  -5.56886644E-03
       294  O   0.00000000E+00   2.79381520E-02
       295  H   0.00000000E+00  -1.25883700E-02
       296  H   0.00000000E+00  -9.01028752E-03
       297  O   0.00000000E+00   2.08065330E-02
       298  H   0.00000000E+00  -7.53764924E-03
       299  H   0.00000000E+00  -8.02546262E-03
       300  O   0.00000000E+00   1.41699856E-02
       301  H   0.00000000E+00  -3.51760151E-03
       302  H   0.00000000E+00  -1.18514190E-02
       303  O   0.00000000E+00   1.68023336E-02
       304  H   0.00000000E+00  -8.88199320E-03
       305  H   0.00000000E+00  -1.32010774E-02
       306  O   0.00000000E+00   5.14925385E-03
       307  H   0.00000000E+00  -5.00775878E-03
       308  H   0.00000000E+00  -4.29235534E-04
       309  O   0.00000000E+00   1.08448222E-02
       310  H   0.00000000E+00  -8.86446940E-04
       311  H   0.00000000E+00  -6.70239458E-03
       312  O   0.00000000E+00   7.93392762E-03
       313  H   0.00000000E+00  -5.85754599E-03
       314  H   0.00000000E+00  -2.73435098E-03
       315  O   0.00000000E+00   5.06517217E-03
       316  H   0.00000000E+00  -1.06944982E-02
       317  H   0.00000000E+00  -2.41570085E-05
       318  O   0.00000000E+00   1.26121194E-02
       319  H   0.00000000E+00  -5.57672116E-03
       320  H   0.00000000E+00  -8.19409729E-03
       321  O   0.00000000E+00   1.71831276E-02
       322  H   0.00000000E+00  -4.20378792E-03
       323  H   0.00000000E+00  -3.07159541E-03
       324  O   0.00000000E+00   1.21289921E-02
       325  H   0.00000000E+00  -7.64154315E-03
       326  H   0.00000000E+00  -5.69107196E-03
       327  O   0.00000000E+00   2.61293605E-02
       328  H   0.00000000E+00  -1.19152506E-02
       329  H   0.00000000E+00  -6.98939948E-03
       330  O   0.00000000E+00   1.11953956E-02
       331  H   0.00000000E+00  -1.55964858E-03
       332  H   0.00000000E+00  -6.73483248E-03
       333  O   0.00000000E+00   1.75308095E-02
       334  H   0.00000000E+00  -8.84095965E-03
       335  H   0.00000000E+00  -5.21433044E-03
       336  O   0.00000000E+00   4.73004256E-03
       337  H   0.00000000E+00  -9.55561875E-03
       338  H   0.00000000E+00  -5.72717625E-03
       339  O   0.00000000E+00   3.46563147E-03
       340  H   0.00000000E+00  -1.33399322E-02
       341  H   0.00000000E+00  -4.93741132E-03
       342  O   0.00000000E+00  -1.98399568E-03
       343  H   0.00000000E+00  -4.04755681E-03
       344  H   0.00000000E+00  -7.14698083E-03
       345  O   0.00000000E+00   1.49485401E-02
       346  H   0.00000000E+00  -6.32539713E-03
       347  H   0.00000000E+00  -4.36552628E-03
       348  O   0.00000000E+00   1.01408856E-02
       349  H   0.00000000E+00  -8.14566227E-03
       350  H   0.00000000E+00  -5.34904225E-03
       351  O   0.00000000E+00   4.68708801E-03
       352  H   0.00000000E+00  -5.94891928E-03
       353  H   0.00000000E+00  -7.28439294E-03
       354  O   0.00000000E+00   1.00448966E-02
       355  H   0.00000000E+00  -7.04091661E-03
       356  H   0.00000000E+00  -8.87383008E-03
       357  O   0.00000000E+00   1.19767485E-02
       358  H   0.00000000E+00  -1.79391882E-03
       359  H   0.00000000E+00  -9.74706614E-03
       360  O   0.00000000E+00   4.81763718E-03
       361  H   0.00000000E+00  -8.68370328E-03
       362  H   0.00000000E+00  -4.10168516E-03
       363  O   0.00000000E+00   3.35124139E-02
       364  H   0.00000000E+00  -1.35977688E-02
       365  H   0.00000000E+00  -9.97362825E-03
       366  O   0.00000000E+00   6.98840254E-03
       367  H   0.00000000E+00  -7.63197007E-03
       368  H   0.00000000E+00  -6.48507709E-03
       369  O   0.00000000E+00   1.93284083E-02
       370  H   0.00000000E+00  -4.16680964E-03
       371  H   0.00000000E+00  -8.37672018E-03
       372  O   0.00000000E+00  -1.96143964E-03
       373  H   0.00000000E+00  -1.11418030E-04
       374  H   0.00000000E+00  -3.70895262E-03
       375  O   0.00000000E+00   1.39511023E-02
       376  H   0.00000000E+00  -8.46671906E-03
       377  H   0.00000000E+00  -6.98723471E-03
       378  O   0.00000000E+00   1.14745339E-02
       379  H   0.00000000E+00  -5.10875147E-03
       380  H   0.00000000E+00  -3.97783804E-03
       381  O   0.00000000E+00   1.05511721E-02
       382  H   0.00000000E+00  -3.58992348E-03
       383  H   0.00000000E+00  -1.06828761E-02
       384  O   0.00000000E+00   7.85012010E-03
       385  H   0.00000000E+00  -4.50526406E-03
       386  H   0.00000000E+00  -1.16669615E-02
       387  O   0.00000000E+00   1.76654207E-03
       388  H   0.00000000E+00  -7.12417043E-03
       389  H   0.00000000E+00  -6.86090405E-03
       390  O   0.00000000E+00   2.80335798E-03
       391  H   0.00000000E+00  -9.32298017E-03
       392  H   0.00000000E+00  -5.68970011E-03
       393  O   0.00000000E+00   9.75223777E-03
       394  H   0.00000000E+00  -1.25862216E-02
       395  H   0.00000000E+00  -5.43587009E-03
       396  O   0.00000000E+00   1.78686563E-02
       397  H   0.00000000E+00  -8.61446253E-03
       398  H   0.00000000E+00  -9.11571729E-03
       399  O   0.00000000E+00   1.06524860E-02
       400  H   0.00000000E+00  -1.25883049E-02
       401  H   0.00000000E+00  -5.56088769E-03
       402  O   0.00000000E+00   1.51942219E-02
       403  H   0.00000000E+00  -3.93180420E-03
       404  H   0.00000000E+00  -4.30788183E-03
       405  O   0.00000000E+00   8.67126862E-03
       406  H   0.00000000E+00  -5.55965820E-03
       407  H   0.00000000E+00  -5.64682093E-03
       408  O   0.00000000E+00  -2.69506901E-03
       409  H   0.00000000E+00  -4.55557538E-03
       410  H   0.00000000E+00   2.37918028E-04
       411  O   0.00000000E+00   4.24336129E-03
       412  H   0.00000000E+00   1.65998116E-03
       413  H   0.00000000E+00  -1.42944270E-02
       414  O   0.00000000E+00   2.06048804E-02
       415  H   0.00000000E+00  -6.83728363E-03
       416  H   0.00000000E+00  -1.33628419E-02
       417  O   0.00000000E+00   1.41382329E-02
       418  H   0.00000000E+00  -2.38535783E-03
       419  H   0.00000000E+00  -1.18310689E-02
       420  O   0.00000000E+00   7.59898874E-03
       421  H   0.00000000E+00  -4.84284067E-03
       422  H   0.00000000E+00  -4.19525121E-03
       423  O   0.00000000E+00   2.58643229E-03
       424  H   0.00000000E+00  -2.66372751E-03
       425  H   0.00000000E+00  -7.68368073E-03
       426  O   0.00000000E+00   2.47961525E-03
       427  H   0.00000000E+00  -1.02673652E-02
       428  H   0.00000000E+00  -7.96098634E-03
       429  O   0.00000000E+00   1.52496705E-02
       430  H   0.00000000E+00  -3.81144406E-03
       431  H   0.00000000E+00  -9.35622483E-03
       432  O   0.00000000E+00   8.26422939E-03
       433  H   0.00000000E+00  -8.18634127E-03
       434  H   0.00000000E+00  -4.51595824E-03
       435  O   0.00000000E+00   3.17732685E-03
       436  H   0.00000000E+00  -4.18115646E-03
       437  H   0.00000000E+00  -4.85521916E-03
       438  O   0.00000000E+00   4.27310848E-03
       439  H   0.00000000E+00   2.40805261E-04
       440  H   0.00000000E+00  -2.27790306E-03
       441  O   0.00000000E+00   1.01573587E-02
       442  H   0.00000000E+00  -6.11043864E-03
       443  H   0.00000000E+00  -8.86680527E-03
       444  O   0.00000000E+00   8.25806307E-03
       445  H   0.00000000E+00  -6.26478823E-03
       446  H   0.00000000E+00  -1.25960395E-02
       447  O   0.00000000E+00   3.08324425E-03
       448  H   0.00000000E+00  -8.25459823E-03
       449  H   0.00000000E+00  -8.34917499E-03
       450  O   0.00000000E+00  -1.43704065E-03
       451  H   0.00000000E+00  -6.51032122E-03
       452  H   0.00000000E+00  -3.17897284E-03
       453  O   0.00000000E+00   8.34455074E-03
       454  H   0.00000000E+00  -4.21822823E-03
       455  H   0.00000000E+00  -9.13150810E-03
       456  O   0.00000000E+00   1.73685808E-03
       457  H   0.00000000E+00  -9.62292791E-03
       458  H   0.00000000E+00   1.72933822E-03
       459  O   0.00000000E+00   1.48661135E-02
       460  H   0.00000000E+00  -1.03030546E-02
       461  H   0.00000000E+00  -1.12866123E-02
       462  O   0.00000000E+00   1.62635059E-02
       463  H   0.00000000E+00  -6.19349896E-03
       464  H   0.00000000E+00  -1.01475489E-02
       465  O   0.00000000E+00  -1.97067816E-03
       466  H   0.00000000E+00  -4.43523472E-03
       467  H   0.00000000E+00  -3.85049403E-03
       468  O   0.00000000E+00   1.66871094E-02
       469  H   0.00000000E+00  -1.00672450E-02
       470  H   0.00000000E+00  -7.40859936E-03
       471  O   0.00000000E+00   8.79472612E-03
       472  H   0.00000000E+00  -1.01167544E-02
       473  H   0.00000000E+00  -3.90282862E-03
       474  O   0.00000000E+00   3.83799839E-03
       475  H   0.00000000E+00  -1.09096185E-02
       476  H   0.00000000E+00  -8.77483458E-03
       477  O   0.00000000E+00   9.86368602E-03
       478  H   0.00000000E+00  -2.58827016E-03
       479  H   0.00000000E+00  -7.82790628E-03
       480  O   0.00000000E+00  -2.20981081E-03
       481  H   0.00000000E+00  -2.61023942E-03
       482  H   0.00000000E+00  -1.13516929E-02
       483  O   0.00000000E+00   9.62443112E-03
       484  H   0.00000000E+00  -4.29457637E-03
       485  H   0.00000000E+00  -8.24634448E-03
       486  O   0.00000000E+00   9.64992890E-03
       487  H   0.00000000E+00  -4.86922399E-03
       488  H   0.00000000E+00  -3.31474563E-03
       489  O   0.00000000E+00   5.39353273E-03
       490  H   0.00000000E+00  -6.34008137E-03
       491  H   0.00000000E+00  -9.34246847E-03
       492  O   0.00000000E+00   7.81402354E-03
       493  H   0.00000000E+00  -2.33468613E-03
       494  H   0.00000000E+00  -4.67830274E-03
       495  O   0.00000000E+00  -2.30372459E-03
       496  H   0.00000000E+00  -1.65592757E-03
       497  H   0.00000000E+00  -6.61097363E-03
       498  O   0.00000000E+00   2.90295609E-02
       499  H   0.00000000E+00  -9.96195502E-03
       500  H   0.00000000E+00  -1.09702002E-02
       501  O   0.00000000E+00   1.77277228E-02
       502  H   0.00000000E+00  -7.01578027E-03
       503  H   0.00000000E+00  -4.52838777E-03
       504  O   0.00000000E+00   1.53556124E-02
       505  H   0.00000000E+00  -5.63026766E-03
       506  H   0.00000000E+00  -1.03201229E-02
       507  O   0.00000000E+00   9.66855316E-03
       508  H   0.00000000E+00  -9.52198307E-03
       509  H   0.00000000E+00  -6.09359522E-03
       510  O   0.00000000E+00   4.04950984E-03
       511  H   0.00000000E+00  -4.16695884E-03
       512  H   0.00000000E+00  -9.89586941E-03
       513  O   0.00000000E+00   1.44088048E-02
       514  H   0.00000000E+00  -1.41321027E-02
       515  H   0.00000000E+00  -1.37484524E-02
       516  O   0.00000000E+00   1.76163255E-02
       517  H   0.00000000E+00  -6.00787085E-03
       518  H   0.00000000E+00  -1.13316571E-02
       519  O   0.00000000E+00   3.47179678E-03
       520  H   0.00000000E+00  -8.74200250E-03
       521  H   0.00000000E+00  -1.11538044E-02
       522  O   0.00000000E+00   4.78002315E-03
       523  H   0.00000000E+00  -8.25114408E-03
       524  H   0.00000000E+00  -8.31129136E-03
       525  O   0.00000000E+00   6.40848873E-03
       526  H   0.00000000E+00  -6.35874890E-03
       527  H   0.00000000E+00  -3.36873830E-03
       528  O   0.00000000E+00   4.88383315E-03
       529  H   0.00000000E+00  -6.18353897E-03
       530  H   0.00000000E+00  -7.59170672E-03
       531  O   0.00000000E+00   6.85216142E-04
       532  H   0.00000000E+00  -5.30119064E-03
       533  H   0.00000000E+00  -4.53994304E-03
       534  O   0.00000000E+00   1.21724607E-02
       535  H   0.00000000E+00  -4.98201676E-03
       536  H   0.00000000E+00  -6.71720258E-03
       537  O   0.00000000E+00  -6.40439240E-03
       538  H   0.00000000E+00  -8.39722035E-04
       539  H   0.00000000E+00  -4.75752602E-03
       540  O   0.00000000E+00   9.68651533E-03
       541  H   0.00000000E+00  -8.24027581E-03
       542  H   0.00000000E+00  -6.69897719E-03
       543  O   0.00000000E+00   5.45641999E-03
       544  H   0.00000000E+00  -9.29434749E-03
       545  H   0.00000000E+00  -6.64675099E-03
       546  O   0.00000000E+00   6.56813283E-03
       547  H   0.00000000E+00  -7.40453935E-03
       548  H   0.00000000E+00  -1.07560235E-03
       549  O   0.00000000E+00  -5.88525351E-04
       550  H   0.00000000E+00  -3.49796614E-03
       551  H   0.00000000E+00  -5.49856970E-03
       552  O   0.00000000E+00  -1.04254469E-02
       553  H   0.00000000E+00  -3.35635166E-03
       554  H   0.00000000E+00  -7.53220363E-03
       555  O   0.00000000E+00  -2.00821255E-04
       556  H   0.00000000E+00  -5.84155830E-03
       557  H   0.00000000E+00  -5.87245407E-03
       558  O   0.00000000E+00  -8.40644238E-04
       559  H   0.00000000E+00  -4.04921735E-03
       560  H   0.00000000E+00  -2.18777215E-03
       561  O   0.00000000E+00   8.47806170E-03
       562  H   0.00000000E+00  -9.62008619E-03
       563  H   0.00000000E+00  -5.34225124E-03
       564  O   0.00000000E+00   5.25337486E-03
       565  H   0.00000000E+00  -3.34971490E-03
       566  H   0.00000000E+00  -4.88014050E-03
       567  O   0.00000000E+00   3.94989100E-03
       568  H   0.00000000E+00  -4.29626235E-03
       569  H   0.00000000E+00  -7.65261683E-03
