################################################################################
# Energy contributions calculated from NNP.
################################################################################
# Col  Name      Description
################################################################################
# 1    conf      Configuration index (starting with 1).
# 2    index     Atom index (starting with 1).
# 3    Z         Nuclear charge of atom.
# 4    Qref      Reference atomic charge.
# 5    Qnnp      NNP atomic charge.
# 6    Eref_atom Reference atomic energy contribution.
# 7    Ennp_atom Atomic energy contribution (physical units, no mean or offset energy added).
#############################################################################################################################
#        1          2   3                        4                        5                        6                        7
#     conf      index   Z                     Qref                     Qnnp                Eref_atom                Ennp_atom
#############################################################################################################################
         1         65  12   3.3174515399999999E-01   3.2413149036707861E-01   0.0000000000000000E+00   6.7196974580121908E-04
         1         66   8  -3.4397266599999998E-01  -3.4992251769580884E-01   0.0000000000000000E+00  -1.7363234756674700E-02
         1         67   8  -3.4651384600000001E-01  -3.4540108561664140E-01   0.0000000000000000E+00  -6.3604201762970658E-03
         1         68  12   3.3500711399999999E-01   3.3480445647613249E-01   0.0000000000000000E+00  -2.8879930537069817E-03
         1         69  12   3.2162119400000000E-01   3.2813653471690885E-01   0.0000000000000000E+00  -3.1035899503603220E-03
         1         70   8  -3.1534753599999998E-01  -3.1044009306062004E-01   0.0000000000000000E+00  -6.3519392713309308E-03
         1         71   8  -4.0657984600000002E-01  -4.0152383538759395E-01   0.0000000000000000E+00   1.8620005644678167E-02
         1         72  12   3.8243331400000002E-01   3.8461825101443542E-01   0.0000000000000000E+00   1.1034961599894148E-03
         1         73  12   4.2144506399999998E-01   4.0434089461753853E-01   0.0000000000000000E+00   2.8694127536331281E-03
         1         74   8  -3.9885712600000001E-01  -4.0269081201368068E-01   0.0000000000000000E+00   1.6968587155689524E-02
         1         75   8  -3.4229476599999997E-01  -3.4644736886291427E-01   0.0000000000000000E+00  -7.4103492706393825E-03
         1         76  12   3.3282959400000001E-01   3.3391498829207378E-01   0.0000000000000000E+00  -7.6684356695419110E-03
         1         77  12   3.3652098400000002E-01   3.2637464521159698E-01   0.0000000000000000E+00  -2.2782242959479768E-03
         1         78   8  -3.3851908600000002E-01  -3.4526722283733730E-01   0.0000000000000000E+00  -2.7515332944506310E-03
         1         79   8  -3.4427758600000002E-01  -3.4317538266324116E-01   0.0000000000000000E+00  -3.8630421680991012E-03
         1         80  12   3.3852211399999999E-01   3.3859570914612275E-01   0.0000000000000000E+00  -5.3099552878572449E-03
         1         81  12   3.2123483400000002E-01   3.2717406973233076E-01   0.0000000000000000E+00  -3.9793061792875468E-03
         1         82   8  -3.1630029599999998E-01  -3.1199799110455384E-01   0.0000000000000000E+00  -1.1192624552567060E-02
