################################################################################
# Atomic force comparison (ordered by atom index).
################################################################################
# Col  Name  Description
################################################################################
# 1    conf  Configuration index (starting with 1).
# 2    index Atom index (starting with 1).
# 3    fxRef Reference force in x direction.
# 4    fyRef Reference force in y direction.
# 5    fzRef Reference force in z direction.
# 6    fx    Force in x direction.
# 7    fy    Force in y direction.
# 8    fz    Force in z direction.
###########################################################################################################################################################################
#        1          2                        3                        4                        5                        6                        7                        8
#     conf      index                    fxRef                    fyRef                    fzRef                       fx                       fy                       fz
###########################################################################################################################################################################
         1         63   7.0636885577000002E-03   1.6039809107999999E-03   4.6649418728000004E-03   6.9466605021431121E-03   1.1268819000121711E-03   3.9836962050254776E-03
         1         64  -1.3993287519000001E-04   1.1852947064999999E-03  -7.4662349067000002E-03  -1.2613666481907460E-03   6.1005916471152831E-04  -7.6790998843863194E-03
         1         65  -3.6900886505000000E-03   1.8336596819000001E-03  -5.5396560216999999E-03  -3.2548382489912151E-03   1.0689854132858807E-03  -5.2407280545657357E-03
         1         66  -5.0705193302999999E-03  -7.5718061593000002E-04   1.1779551879999999E-02  -5.9585769798944938E-03  -5.7959835512208817E-04   1.2853807277589639E-02
         1         67   2.1618711944000001E-03  -7.4378623136999999E-03   8.9025832048000002E-03   1.5130087735588107E-03  -7.0136532227194313E-03   1.0477842421874831E-02
         1         68  -3.8221904068000000E-03   2.1794735203000000E-03  -1.2919341423999999E-02  -3.0143338082054142E-03   1.6539733543596803E-03  -1.4966106735093404E-02
         1         69  -2.1102349975999999E-03   6.9409950912999998E-04   6.0550268387999998E-03  -2.3610093148251684E-03   7.6689395297516478E-06   6.9658729338061328E-03
         1         70   1.2512748218999999E-02  -1.2697967496999999E-02  -1.3121498323000001E-02   1.1331263514613400E-02  -1.1932220132911342E-02  -1.2805840457256374E-02
         1         71  -1.9984775388000001E-03   6.5175188639999995E-04  -1.2874514248000001E-02  -1.8229204384352102E-03   1.4439142063779550E-03  -1.2791930468013238E-02
         1         72   2.3236357718000000E-04   3.0747797588999998E-03   1.6241732203999999E-02   4.1002283426106248E-04   2.6949919330879605E-03   1.4766521746162470E-02
         1         73  -2.6338069932999998E-03   1.8692072892000000E-03  -7.1830928864999996E-03  -1.3356417935715542E-03   6.2639778384016270E-04  -5.3853824214270662E-03
         1         74  -6.7963033185999995E-04  -3.3978674162000000E-03   1.0028046590000001E-02  -6.3606562301570901E-04  -3.7940409469871578E-03   8.8583874927182955E-03
         1         75   2.0189146225999999E-03   9.1299232460000004E-04   1.4398345789000001E-02   2.2014409570803423E-03   1.1832685795368151E-03   1.4986700387604732E-02
         1         76   3.8787517487000002E-03  -2.8789314967000001E-03  -1.2767519873000000E-02   4.4852923928681296E-03  -2.1607114107522439E-03  -1.2305815437352839E-02
         1         77  -3.2700826696000001E-03  -6.2824640543999999E-03  -1.5263318317000001E-02  -2.9025255698142227E-03  -6.7455415791007568E-03  -1.4899041316986203E-02
         1         78  -1.3208680593000000E-03  -5.9644746145000001E-04   1.4148312919000001E-02  -1.2027602290973177E-03  -5.7112944658733617E-06   1.4363429138147374E-02
         1         79   4.7319631798000000E-03  -7.9854064381000003E-04   8.2523928680000008E-03   4.3070976009078801E-03  -2.5890087519254225E-05   9.9807650134252981E-03
         1         80  -1.2291432619000000E-03   1.8897942996000000E-03  -5.9334117927999997E-03   3.7016439558227031E-04   1.2342263662914149E-03  -8.8716307239533245E-03
         1         81  -1.2722942429000000E-03   7.4047551684000004E-04   5.9269917397000004E-03  -3.9604232231655662E-04   9.1391657777983198E-04   4.2479608785334789E-03
         1         82   9.9977910457999999E-03  -1.4624310110000000E-02  -1.2145468097000000E-02   1.0625265489933205E-02  -1.4797039347343189E-02  -1.1949493233449793E-02
         1         83  -2.6302655581999998E-03   6.6918761996000000E-03  -8.7626692688000003E-03  -2.4323135642618835E-03   7.2998818438267951E-03  -7.0650800130120555E-03
         1         84  -2.8596898962999998E-03  -1.4777345475999999E-03   1.2289643996999999E-02  -2.7397360154126716E-03  -3.7372260016013711E-03   1.1432724384265690E-02
         1         85  -8.1139904315000004E-04  -3.0861963554000000E-03  -7.3630749683999998E-03   4.8539924207919064E-04  -1.9477868423461925E-03  -6.1923931935608991E-03
         1         86  -1.7423814111999999E-03   8.5171378710000006E-03   8.0062458715999991E-03  -1.9566107904133369E-03   9.3791702037976533E-03   6.0278124403964854E-03
         1         87   4.0244773525999998E-03  -2.4137289154000001E-03   1.8159649359999998E-02   4.2945981315767844E-03  -2.4290272069096264E-03   1.8404748969888484E-02
         1         88   4.4389163745999997E-03  -4.4172058062000004E-03  -9.4928399393000001E-03   5.1047457486256831E-03  -4.1802223903174016E-03  -9.1220817208201889E-03
         1         89   1.8134973837000000E-03   2.6779993312000001E-03  -1.2349980602000000E-02   1.7373837650251915E-03   3.7013335643038847E-03  -1.2489494355626416E-02
         1         90  -7.9013844900999997E-03   2.5678006408000002E-03   3.0349451960999998E-03  -8.0052112226679465E-03   2.7269486209104154E-03   2.2657922547894812E-03
         1         91  -1.1083574237000000E-02  -3.6233205620000001E-03   5.7329971300999999E-04  -1.0938757347730508E-02  -4.5243239785911545E-03   1.7929066080778868E-03
         1         92   7.0578324493999998E-03  -4.2671290166999996E-03  -7.2611099535000003E-03   7.2800473892918709E-03  -4.1270216066644520E-03  -1.0198407285684484E-02
         1         93  -6.5266005394000007E-05   4.8167648922999999E-04   7.8354922050000008E-03  -1.9815112336174687E-03  -9.6065184896531499E-05   7.3038597073235012E-03
         1         94  -9.4029885467000005E-03   1.7964035273999999E-02  -4.5031305790000000E-03  -8.7882972245367126E-03   1.8240322759557292E-02  -4.1769514224693476E-03
         1         95   2.9192985591999999E-04  -2.0199560577000000E-03  -6.7187072233999999E-03   6.3809127820413651E-04  -1.8214138475111379E-03  -5.2068381044845635E-03
